bank_account_id,bank_name,account_number
f454858a,Canadian Imperial Bank of Commerce,5627712-547006312462
c485640d,HSBC Canada,4946235-791246826286
a117e9ae,National Bank of Canada,8205711-360866883443
e4829092,Tangerine Bank,9418413-886269829334
96b3b731,Bank of Montreal,3730770-245520439408
04007525,National Bank of Canada,9213071-204821999387
62ff19c5,Desjardins Group,7880386-702500719889
a54c8136,Simplii Financial,9739565-869222984289
653ba3eb,Toronto-Dominion Bank,4807127-654176774599
6ffd3a3e,Simplii Financial,8010713-391071795503
2d4d7c18,HSBC Canada,3989739-743563327944
eac0c3c3,Canadian Imperial Bank of Commerce,2952786-406041555495
e5251020,Scotiabank,4982093-949345324920
c06253be,Bank of Montreal,2638497-272479536173
a28f99c0,Bank of Montreal,5594121-441921896242
2a63caf9,HSBC Canada,7262038-528636024085
9127bf05,Simplii Financial,6454261-704258702639
cc3881f4,Desjardins Group,4055974-457583805491
cd5f26f5,Royal Bank of Canada,8696471-753462208181
8487a6f5,Simplii Financial,1250265-329575299521
2f21e348,Tangerine Bank,9023450-128537052783
0fc515c5,National Bank of Canada,2043535-787242986729
29ae89f5,Simplii Financial,9022281-380808533019
fa3cbd67,Meridian Credit Union,1160104-833328734643
7cc2715c,Laurentian Bank,3654158-802083201025
d767acd2,Royal Bank of Canada,5201285-233341855224
35f0040c,Simplii Financial,5710017-549818473769
d893ff2d,Scotiabank,5340745-501109708499
a2d7e915,Toronto-Dominion Bank,2741152-175462771747
08e4f3a0,National Bank of Canada,4949871-787787532191
041aceb1,HSBC Canada,6281312-799135264581
8285f5b6,HSBC Canada,4680281-574972653387
00880980,Laurentian Bank,2119131-799189521344
fac9fbcb,Tangerine Bank,3571018-303328757764
8a393822,Tangerine Bank,3305744-929125258341
373163e0,National Bank of Canada,7574199-806781238141
09525b43,Tangerine Bank,4422846-663226749783
e6864ecd,Meridian Credit Union,2708762-621452773140
8855019e,Simplii Financial,8031670-470593201609
00ba7cbd,Bank of Montreal,1957757-442275754353
24da34f5,National Bank of Canada,6816248-904319310081
10707606,Bank of Montreal,9788945-265311021214
c46126da,Toronto-Dominion Bank,9301403-897422282062
976eb29b,Canadian Imperial Bank of Commerce,1969329-735536085710
c4f19ef4,Desjardins Group,1464385-784118776299
7564c735,National Bank of Canada,2379539-578159907893
877e8233,Toronto-Dominion Bank,4517453-653963355371
6122b7d9,Simplii Financial,6950609-281554542768
61bd6e64,Scotiabank,8578425-853590125562
f5c2ed03,Meridian Credit Union,5109901-850939466020
1d08eeb1,Toronto-Dominion Bank,1596897-752482817097
df8508f7,National Bank of Canada,6261903-642873815683
e789142f,Laurentian Bank,5782930-398860647604
6859c06c,Tangerine Bank,8267795-906010818507
4422c195,Scotiabank,4917887-841460498256
c1541bda,Toronto-Dominion Bank,6320635-622184592132
8ed613ea,Royal Bank of Canada,3513377-595473710621
8d9a04ad,Simplii Financial,6494717-999447034946
be64e8a3,National Bank of Canada,7493734-665968140509
a6c522d4,Laurentian Bank,7574995-419213326651
9fa6863c,Bank of Montreal,1145678-865904821491
a6d86f5c,Royal Bank of Canada,9295654-991578642927
468fadaa,Simplii Financial,1816049-601837977025
b1368d0b,Scotiabank,9505601-968323621583
ac7e0507,Desjardins Group,5269628-798016747301
4bea129a,Canadian Imperial Bank of Commerce,9998138-317425775705
84f08a7d,Canadian Imperial Bank of Commerce,4198813-199639940521
87c352f0,Scotiabank,7381426-937213176676
378495ff,Scotiabank,4613398-359611776683
9df1be34,Toronto-Dominion Bank,8042439-248730277914
d2b1d8fc,Bank of Montreal,7620655-284200041908
48eed4e0,Laurentian Bank,5616449-151700156765
805c016f,Simplii Financial,6077196-321390780005
875c0f01,Royal Bank of Canada,3962793-918539206561
24e1acbd,HSBC Canada,8014875-950574690505
cc03f746,HSBC Canada,1427208-784917399044
4cc4e49b,Meridian Credit Union,1713485-920589306935
eb51ab73,Laurentian Bank,5901946-691324449944
960fd9a2,National Bank of Canada,3091199-552240349591
9c9c59e1,Simplii Financial,5219324-755586981296
cded6db6,Laurentian Bank,1105299-363684409900
68751cf0,Desjardins Group,1352386-441079844657
9948a0f0,Bank of Montreal,8899628-177436874137
67497c03,Canadian Imperial Bank of Commerce,1052243-983515289930
e15ffe7a,Laurentian Bank,2001717-462492023485
52c66d4b,HSBC Canada,6075483-324879682219
0a3a26cf,Desjardins Group,2647709-757273647927
bc031bc2,Tangerine Bank,8586188-386283405692
26e21174,Meridian Credit Union,8923401-551235800463
8f82b5ce,Meridian Credit Union,3895142-868266365894
b5d4b448,Toronto-Dominion Bank,4100062-462572461160
6db75a16,Meridian Credit Union,1588205-438806140806
bf9851d9,Tangerine Bank,9501112-230716384262
087c371c,Bank of Montreal,3564244-387492260441
e621078d,Bank of Montreal,2266239-741476056641
b305a2e9,Toronto-Dominion Bank,1488390-823715393784
813dfcc4,Simplii Financial,5199098-628100238261
e5ef49ff,Laurentian Bank,9446051-664743609033
ac44d566,Bank of Montreal,6879042-756695802532
a3b1e2bb,HSBC Canada,7178102-940887375150
