customer_id,password_hash,average_stars,user_id
529fefd1,)7X+xN9!RI,2.1,42f11892
320569af,#G8MJ&rr_*,1.8,c00d7bfb
8a6d1dbd,!&&KD^nt_0,2.7,98cc3811
8646cadb,C7ia0C+e^d,4.3,05c83848
68792762,&T!h6RlkL8,2.8,ddaa77ac
8831d764,9h&g21Lb0+,2.9,991cc851
922ae565,b42RcGTt^U,4.8,e65b8810
6e93d44b,#NAME?,1.6,fffd0fcc
42198816,*%(n1Hgz9*,4.1,a60caab9
fd1e84a8,h93X)m2A^M,3.7,246136be
f8b0c605,^&x8ZtQwk0,5,c73b4771
0f6105c0,uA3tPHas7^,4.6,be9e7069
f47ebbd0,7pwWPt)a(U,1.8,620fc19d
798fe0c8,d+12MyB(dw,3.4,ea94358f
0ca76b6b,)3O#2KtiZn,2.8,7915d471
5eb71722,!8@W*yIzrD,2,aa9150c3
f00557f0,p&@1hIyo0Z,4,645ee18d
7a884b40,+6!W4BgOq&,3.3,24fe43d9
1c4d2b42,^_RVOjg391,1.8,91ff9f20
3240355b,*UOxOw9s4Y,1.5,948f2d5a
eb93dd60,6oLeP*AA_8,5,1c55cadf
17872a34,j66!C0xf@H,1.2,c0d57b4d
24e53644,bZX7^MrYQ#,3.4,ad408c88
c1c5e8fe,6g@eTUJm+8,2.3,fe20c8a3
b65180b3,4#y8pL@eC7,1.3,2443c8ee
c896ecc8,@1Vc_8rf_N,4.9,e967f4e2
59b4d0c6,&I1yK6IdFj,4.6,52cc4635
0d962687,1)4BfAxv#E,3.5,3d278c0c
350221d4,@xe$9BchHR,1.9,90cef488
54aa77f0,!zIH@oD$%3,1.4,6e9b2bbc
cf7e54f1,J9AzE&kc@s,3.4,32b40867
bfe67446,u1VvRMiX*4,3,988014e4
bb81ad9a,s_V1y1VgWg,3.7,4c499a7f
6c1b5e12,&dWfuf1Z7(,4.7,536dff53
753772a1,4$_L3XLxqH,2.2,31b7719a
ba1d6d07,Sl7mFA#S&),3.5,b0d93080
e18890e6,Z*Nk0CdE9t,4.7,9189ce9a
d6196621,_cDEW@ma9i,2.1,8c045a3d
9dac6510,)lp7yrBpf$,4,aebfedaa
6f3195b3,8vsA#5Cj4@,1.1,e154f274
adb82489,w3GmgmF4&0,3.2,85d0fbbe
663b4605,qPN8&bWC$7,3.5,076cf775
311784a9,!&1Ru%_l15,2.3,e573f4db
c0a23b5e,o6TXHz#7_L,2,de122518
5c987785,TI5Am2yNU%,1.4,a877d39a
ed1d6fa4,Eq0$R2Zt%U,1.9,4b76efec
4784e0f3,g1)7F!uu*^,3.3,c917f4d5
a93aea5e,4j#4OtuG^+,1,f64fe164
a7e0bfa1,*1hBHWXtU2,4.6,88760a45
1aa28da1,^1p_+VytBm,4.1,b0c46891
3ffc9b7a,E85Qh8f!v),2.8,b7242ec1
538d5c22,%5FT$F4cFg,3.2,d75dc6a7
978ae4e2,BLsRbMnW&3,3,cab6da1b
f45f3337,)3RLoGP%Yt,3.1,5ec0276b
accd5152,2Y)E03h+!h,4.3,3664347a
1798a390,2aF31WFo@^,1.4,53f962b4
35607098,@eifdRZmZ6,2.4,2ae256df
b98297f5,0cBaCtA3!V,4.4,3e26790f
ca38bfb1,jPc6Y!Fc##,2.2,f97070c3
76014890,Oy2eD3djH_,3.4,ed23885f
4bc16bde,tB5JEyYml^,3.6,1f977dd2
f28f11b4,(j(dXtgi1),4.1,9d104d17
18fa61dc,(LhYzgxw6F,3.9,6a487e9f
7e478d1d,x)1Hdw3+9a,2.7,5b455707
3ce8209a,D@2zxJrr@G,2.4,bb31ac72
ad949fdd,%_8WOhLu7j,3.7,67420d66
7e83d6ab,@j0DhC&Jq*,2.8,3d2381b5
ea6a4645,(Do79JIhY7,3.2,1dafec4f
20f5ab89,_9J6F(%pW%,2.1,19d7ef2a
5ed33ac4,px_5WhsrkS,2.1,d9c87276
57d54d7c,E+Z6KC1uWu,4.4,5fd37fdd
0d0b5b80,Ii@^2TKg#$,1.6,e4bf6ecd
6c2a2dc7,o)b8Jwru^F,3.5,83bf8629
bdf0182b,kqZDfXvG@7,1.8,b9ccfddf
dc6fd3e4,pLYXiU4h!5,4.3,6a94b5c6
d15803f8,C4%HQHwd%^,2.3,dd1db303
300cf607,$pZfrabUI2,1.2,ad91b7fc
1ea4512c,274DqTJM+9,4.3,e73614bd
49adf30d,+VED1#*v1y,2.6,f165a470
26af96d4,YszX6Nsz!5,2.9,35f8b548
2848c286,Yg5H$Mnf^&,2.2,59fa5b98
b6105b78,%n$TcnLI%1,2,3d7498f8
700eb294,u&5R%I)tEe,4.4,276f050b
2bd1c576,_^4VTGoahv,1.1,28b16776
f3e221f3,@*Z6YS2rHS,2.4,f0f957e2
53eb9d55,^8W6#*&c@8,3.5,919689f6
a9cb1ff4,&Iq+CYb%n4,1.1,bf6f19c2
d10f07e5,5dDMjHxT(u,2.6,0dda3e10
be4f95c6,#2TuBdfb2I,4.8,68e3915d
98ba0d48,#RMz0!1_P0,3.5,9b979e2c
3183b1bc,i&1Py2Osqf,4,2d486135
53a705c9,%(P7LEIkN8,1.1,066f5f71
ea90fa69,E%*9zPqnQb,2.7,ed1b1a18
7a0caf08,lB6D$m4h@v,2.5,169be503
ba25b87f,w9$liAsk&E,2.2,ad1a17ba
6b167a5f,x8p3^ESmi(,4.9,e9afb28f
f1a17d3c,(0Bhv4@c!5,3.4,ca6649b3
b6733a05,7IWZgT0c&5,3,8a790584
3ea3cdc9,9(bVFAu$^e,1.2,957a2bc9
a168bd29,yzel9HsB@c,2.3,9a222dfd
