payment_method_id,card_number,type,is_default,is_active,expiration_year,expiration_month,customer_id
b7990af3,4444-8768-3472-2598,Credit,FALSE,TRUE,2027,9,529fefd1
7143900e,4908-4135-9169-8091,Debit,TRUE,FALSE,2024,12,320569af
74e6f718,4648-3398-3525-9719,Debit,TRUE,TRUE,2030,7,8a6d1dbd
f7f15bac,4670-4312-2528-7832,Debit,TRUE,TRUE,2028,1,8646cadb
5dd6aa03,4515-1195-5854-4171,Credit,FALSE,FALSE,2026,3,68792762
75619d4d,4149-5789-3528-3384,Debit,FALSE,FALSE,2024,4,8831d764
2f43cc05,4008-2659-4438-8583,Debit,TRUE,TRUE,2024,8,922ae565
8534efe0,4150-5114-4746-6000,Credit,FALSE,FALSE,2030,8,6e93d44b
a40ec21c,4060-8101-9381-5123,Credit,TRUE,TRUE,2025,8,42198816
fef68a2d,4084-4543-5000-9109,Credit,FALSE,FALSE,2024,6,fd1e84a8
88d65be6,4441-5994-4034-4563,Credit,TRUE,FALSE,2025,12,f8b0c605
4fea44aa,4239-3841-8998-3401,Credit,TRUE,FALSE,2025,12,0f6105c0
ca13c3bd,4872-5762-8341-9452,Credit,TRUE,FALSE,2025,11,f47ebbd0
d8b6bda9,4854-2240-6080-8839,Debit,TRUE,TRUE,2030,6,798fe0c8
bc0fbe03,4870-7006-8767-8043,Credit,TRUE,TRUE,2029,4,0ca76b6b
1ad36cbb,4252-9720-8103-4324,Debit,TRUE,TRUE,2025,11,5eb71722
6f23b85d,4406-7881-6994-6313,Debit,TRUE,TRUE,2030,4,f00557f0
26ece078,4085-9313-2413-5104,Debit,FALSE,FALSE,2024,10,7a884b40
4fd20f79,4021-3589-7394-7975,Credit,FALSE,TRUE,2030,4,1c4d2b42
4e420e7b,4716-7170-6920-3701,Debit,FALSE,TRUE,2029,10,3240355b
eaf64aee,4674-5810-7539-4901,Debit,FALSE,TRUE,2026,8,eb93dd60
f36e06e8,4460-5579-2025-6771,Debit,FALSE,TRUE,2024,3,17872a34
bce46f08,4573-5016-2416-6467,Debit,FALSE,FALSE,2026,12,24e53644
41091620,4742-3177-7425-3600,Debit,TRUE,FALSE,2024,12,c1c5e8fe
77e7c4d8,4438-4583-6376-3086,Credit,FALSE,TRUE,2024,4,b65180b3
51b5818d,4484-4909-9765-4323,Debit,TRUE,FALSE,2028,2,c896ecc8
e70b1e81,4730-9035-2091-3130,Credit,FALSE,FALSE,2026,11,59b4d0c6
8e1aa230,4661-4128-9137-1391,Credit,TRUE,TRUE,2029,12,0d962687
bb77713d,4633-7649-3062-6823,Debit,TRUE,TRUE,2026,1,350221d4
3763cc9a,4942-3412-7531-4044,Credit,FALSE,TRUE,2026,8,54aa77f0
d64181b1,4456-7699-4281-7877,Debit,TRUE,FALSE,2026,8,cf7e54f1
c6088e5d,4859-8276-3203-6128,Debit,FALSE,TRUE,2030,12,bfe67446
71a81a5b,4779-3390-9096-5667,Debit,FALSE,TRUE,2030,10,bb81ad9a
0dd442f6,4217-7269-2516-1207,Credit,FALSE,FALSE,2028,5,6c1b5e12
efe18a49,4938-8601-5544-7762,Debit,FALSE,TRUE,2029,12,753772a1
bcd0b661,4846-3346-7771-5103,Credit,FALSE,TRUE,2025,7,ba1d6d07
1a250fa1,4574-7166-7488-7234,Credit,TRUE,FALSE,2030,3,e18890e6
6a86d290,4257-6703-7080-3368,Debit,FALSE,FALSE,2028,3,d6196621
15be083b,4293-5498-1141-4792,Debit,TRUE,FALSE,2029,10,9dac6510
511f630b,4620-4979-7515-4537,Credit,TRUE,FALSE,2029,12,6f3195b3
156a1008,4737-3677-7026-5657,Debit,TRUE,TRUE,2030,4,adb82489
577c1249,4895-5826-2253-6320,Credit,TRUE,TRUE,2024,7,663b4605
69b2f2a6,4713-9536-2915-6681,Credit,FALSE,FALSE,2025,9,311784a9
f6ee67f4,4909-4987-7683-9433,Debit,FALSE,TRUE,2026,2,c0a23b5e
74e8400d,4281-5503-7557-4922,Credit,FALSE,TRUE,2030,12,5c987785
857fa973,4483-1166-4461-4737,Credit,TRUE,FALSE,2028,11,ed1d6fa4
d0225964,4334-8791-9422-4621,Debit,FALSE,TRUE,2026,5,4784e0f3
91e11645,4709-7885-7358-7818,Debit,TRUE,TRUE,2025,9,a93aea5e
c18aacec,4699-2391-7134-7372,Credit,FALSE,FALSE,2030,3,a7e0bfa1
e25b1366,4538-9882-3035-7797,Credit,FALSE,FALSE,2029,4,1aa28da1
6957399d,4129-3089-2266-4084,Credit,FALSE,TRUE,2030,3,3ffc9b7a
